geoidentifikator,administrativeunit,name_1,name_2,type,localtype,leastdetailedviewingscale,mostdetailedviewingscale,beginlifespanversion,endlifespanversion,languagegeoname,languageiso_639,script,nativeness,namestatus,standardizationdata,sourceofname,responsibleinstitution,grammaticalgender,grammaticalnumber,note_,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6100065,Бела Црква,Udvarszállás,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80098","800791","199","2011",,POINT(528054.0212000003 4981870.9222)
SRBRGI6100066,Бела Црква,Fehértemplom,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80098","800767","9080","2011",,POINT(533510.3938999996 4972242.516000001)
SRBRGI6100067,Житиште,Torák,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801372","2291","2011",,POINT(469328.84169999976 5039499.102)
SRBRGI6100068,Житиште,Csősztelek,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801470","1113","2011",,POINT(463466.5242999997 5045632.670700001)
SRBRGI6100069,Житиште,Udvarnok,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801348","1095","2011",,POINT(462052.69849999994 5040832.729)
SRBRGI6100070,Житиште,Begaszentgyörgy,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801399","2903","2011",,POINT(464982.55709999986 5036725.1011)
SRBRGI6100071,Житиште,Katalinfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801437","1137","2011",,POINT(466267.8535000002 5034109.2948)
SRBRGI6100072,Житиште,Vida,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801356","258","2011",,POINT(475050.0099999998 5032561.726399999)
SRBRGI6100073,Житиште,Magyarittabé,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801429","1147","2011",,POINT(476721.7355000004 5044963.7599)
SRBRGI6100074,Сечањ,Kismargita,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803723","324","2011",,POINT(485997.2368999999 5013370.754899999)
SRBRGI6100075,Ковачица,Torontálvásárhely,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802239","4913","2011",,POINT(468459.5998999998 4990677.306500001)
SRBRGI6100076,Ковачица,Antalfalva,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802255","6259","2011",,POINT(470197.1525999997 4995505.348300001)
SRBRGI6100077,Ковачица,Nagylajosfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802263","5531","2011",,POINT(478526.1261 4996109.285599999)
SRBRGI6100078,Ковачица,Cserépalja,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802301","4364","2011",,POINT(471393.8278000001 4983998.673599999)
SRBRGI6100079,Сечањ,Bóka,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803731","1412","2011",,POINT(486848.69579999987 5022377.252900001)
SRBRGI6100080,Сечањ,Szécsány,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803812","2107","2011",,POINT(482175.6553999996 5023695.927100001)
SRBRGI6100081,Сечањ,Káptalanfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803740","63","2011",,POINT(486058.42090000026 5031404.114399999)
SRBRGI6100082,Сечањ,Szárcsa,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803839","1478","2011",,POINT(476365.05759999994 5025261.6426)
SRBRGI6100083,Сечањ,Nezsény,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803804","1256","2011",,POINT(477456.0409000004 5021326.0448)
SRBRGI6100084,Сечањ,Árkod,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803758","1505","2011",,POINT(481334.2737999996 5012988.7642)
SRBRGI6100085,Нова Црња,Tóba,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80250","802581","518","2011",,POINT(465471.47449999955 5059503.3429000005)
SRBRGI6100086,Бела Црква,Körtéd,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80098","800848","864","2011",,POINT(537366.273 4975059.977)
SRBRGI6100087,Ковин,Homokbálványos,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802310","5820","2011",,POINT(490200.7644999996 4962848.8818)
SRBRGI6100088,Ковин,Deliblát,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802336","2939","2011",,POINT(503123.3247999996 4964919.0743)
SRBRGI6100089,Ковин,Kevevára,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802352","13515","2011",,POINT(498243.61510000005 4954040.3386)
SRBRGI6100090,Ковин,Kisbálványos,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802379","332","2011",,POINT(506854.18570000026 4955246.320699999)
SRBRGI6100091,Ковин,Gálya,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802328","2929","2011",,POINT(505256.87179999985 4960306.559699999)
SRBRGI6100092,Ковачица,Számos,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802280","1004","2011",,POINT(482162.7149 5005473.286900001)
SRBRGI6100093,Ковин,Homokos,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80225","802387","2690","2011",,POINT(497786.1615000004 4969548.2609)
