geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100082,Венац,Venac,"5101","5","71013",2017/02/01 01:00:00+01,POINT(492590.80960000027 4898477.669600001)
SRBRGI5100083,Букорска главица,Bukorska glavica,"5101","5","71269",2017/02/01 01:00:00+01,POINT(386491.0848000003 4930769.6127)
SRBRGI5100084,Бразник,Braznik,"5101","5","70637",2017/02/01 01:00:00+01,POINT(394346.01580000017 4924311.379899999)
SRBRGI5100085,Чот,Čot,"5101","9","70360",2017/02/01 01:00:00+01,POINT(404781.15020000003 4914545.5154)
SRBRGI5100086,Мачек,Maček,"5101","5","70602",2017/02/01 01:00:00+01,POINT(608879.2605999997 4822594.9989)
SRBRGI5100087,Орлова чука,Orlova čuka,"5101","5","70432",2017/02/01 01:00:00+01,POINT(565785.4334000004 4722491.7995)
SRBRGI5100088,Прокопије,Prokopije,"5101","5","70432",2017/02/01 01:00:00+01,POINT(565250.8152999999 4727906.7994)
SRBRGI5100089,Веља глава,Velja glava,"5101","9","70815",2017/02/01 01:00:00+01,POINT(556472.5840999996 4726759.034499999)
SRBRGI5100090,Миљков врх,Miljkov vrh,"5101","5","70416",2017/02/01 01:00:00+01,POINT(577476.0888999999 4728373.834000001)
SRBRGI5100091,Облик,Oblik,"5101","5","70432",2017/02/01 01:00:00+01,POINT(575342.1319000004 4721622.6239)
SRBRGI5100092,Бојкова чука,Bojkova čuka,"5101","5","71137",2017/02/01 01:00:00+01,POINT(599743.1141999997 4724790.5527)
SRBRGI5100093,Оштрика,Oštrika,"5101","5","71137",2017/02/01 01:00:00+01,POINT(619187.5374999996 4722583.1296999995)
SRBRGI5100094,Плоча,Ploča,"5101","5","71137",2017/02/01 01:00:00+01,POINT(617938.8559999997 4725206.544500001)
SRBRGI5100095,Велики Чемерник,Veliki Čemernik,"5101","5","71137",2017/02/01 01:00:00+01,POINT(604427.5503000002 4732014.816500001)
SRBRGI5100096,Мали Чемерник,Mali Čemernik,"5101","5","71137",2017/02/01 01:00:00+01,POINT(603752.4644999998 4733605.935799999)
SRBRGI5100097,Јерич,Jerič,"5101","5","71226",2017/02/01 01:00:00+01,POINT(600924.9505000003 4739373.8971)
SRBRGI5100098,Површица,Površica,"5101","5","70726",2017/02/01 01:00:00+01,POINT(597457.8437000001 4738172.421800001)
SRBRGI5100099,Деја,Deja,"5101","5","70416",2017/02/01 01:00:00+01,POINT(589508.8512000004 4741263.0041000005)
SRBRGI5100100,Спасова чука,Spasova čuka,"5101","5","70416",2017/02/01 01:00:00+01,POINT(585162.7876000004 4738997.017200001)
SRBRGI5100101,Влајна,Vlajna,"5101","6","70432",2017/02/01 01:00:00+01,POINT(577394.3711999999 4738061.733899999)
SRBRGI5100102,Шанци,Šanci,"5101","5","70718",2017/02/01 01:00:00+01,POINT(556089.2981000002 4736153.3895)
SRBRGI5100103,Тупалски вис,Tupalski vis,"5101","5","70815",2017/02/01 01:00:00+01,POINT(552812.6917000003 4738710.592499999)
