geoidentifikator,name_1,name_2,localtype,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6000103,Банатски Карловац,Banatski Karlovac,"6002","9","80039","800074","5082","2011",2017/02/01 01:00:00+01,POINT(501259.64109999966 4988627.0769)
SRBRGI6000104,Владимировац,Vladimirovac,"6003","9","80039","800082","3868","2011",2017/02/01 01:00:00+01,POINT(489413.4155000001 4986594.864399999)
SRBRGI6000105,Николинци,Nikolinci,"6003","7","80039","800155","1131","2011",2017/02/01 01:00:00+01,POINT(505475.6113999998 4988824.600199999)
SRBRGI6000106,Алибунар,Alibunar,"6002","9","80039","800066","3007","2011",2017/02/01 01:00:00+01,POINT(497251.3596000001 4991862.1469)
SRBRGI6000107,Селеуш,Seleuš,"6003","7","80039","800171","1191","2011",2017/02/01 01:00:00+01,POINT(493259.92530000024 4997073.4208)
SRBRGI6000108,Локве,Lokve,"6003","9","80039","800147","1772","2011",2017/02/01 01:00:00+01,POINT(502497.9469999997 4999986.2292)
SRBRGI6000109,Нови Козјак,Novi Kozjak,"6003","7","80039","800163","636","2011",2017/02/01 01:00:00+01,POINT(489281.4110000003 5003269.303200001)
SRBRGI6000110,Јаношик,Janošik,"6003","7","80039","800139","966","2011",2017/02/01 01:00:00+01,POINT(500524.9497999996 5002038.448100001)
SRBRGI6000111,Иланџа,Ilandža,"6003","7","80039","800112","1422","2011",2017/02/01 01:00:00+01,POINT(493765.67619999964 5001715.190199999)
SRBRGI6000112,Дебељача,Debeljača,"6003","9","80217","802239","4913","2011",2017/02/01 01:00:00+01,POINT(468459.5998999998 4990677.306500001)
SRBRGI6000113,Ковачица,Kovačica,"6002","9","80217","802255","6259","2011",2017/02/01 01:00:00+01,POINT(470197.1525999997 4995505.348300001)
SRBRGI6000114,Падина,Padina,"6003","9","80217","802263","5531","2011",2017/02/01 01:00:00+01,POINT(478526.1261 4996109.285599999)
SRBRGI6000115,Црепаја,Crepaja,"6003","9","80217","802301","4364","2011",2020/10/20 10:06:26+02,POINT(471441.4528999999 4983963.6162)
SRBRGI6000116,Бока,Boka,"6003","9","80373","803731","1412","2011",2017/02/01 01:00:00+01,POINT(486848.69579999987 5022377.252900001)
SRBRGI6000117,Сечањ,Sečanj,"6003","9","80373","803812","2107","2011",2017/02/01 01:00:00+01,POINT(482175.6553999996 5023695.927100001)
SRBRGI6000118,Калуђерица,Kaluđerica,"6003","7","70122","703770","26904","2011",2017/02/01 01:00:00+01,POINT(464345.0444 4956757.955800001)
SRBRGI6000119,Бусење,Busenje,"6003","5","80373","803740","63","2011",2017/02/01 01:00:00+01,POINT(486058.42090000026 5031404.114399999)
SRBRGI6000120,Сутјеска,Sutjeska,"6003","7","80373","803839","1478","2011",2017/02/01 01:00:00+01,POINT(476365.05759999994 5025261.6426)
SRBRGI6000121,Неузина,Neuzina,"6003","7","80373","803804","1256","2011",2017/02/01 01:00:00+01,POINT(477456.0409000004 5021326.0448)
SRBRGI6000122,Јарковац,Jarkovac,"6003","9","80373","803758","1505","2011",2017/02/01 01:00:00+01,POINT(481334.2737999996 5012988.7642)
SRBRGI6000123,Тоба,Toba,"6003","7","80250","802581","518","2011",2017/02/01 01:00:00+01,POINT(465471.47449999955 5059503.3429000005)
SRBRGI6000124,Александрово,Aleksandrovo,"6003","7","80250","802522","2130","2011",2017/02/01 01:00:00+01,POINT(468010.41509999987 5053868.720899999)
SRBRGI6000125,Војвода Степа,Vojvoda Stepa,"6003","7","80250","802549","1374","2011",2017/02/01 01:00:00+01,POINT(473244.6601 5059064.8894)
SRBRGI6000126,Крушчица,Kruščica,"6003","7","80098","800848","864","2011",2017/02/01 01:00:00+01,POINT(537366.273 4975059.977)
SRBRGI6000127,Сефкерин,Sefkerin,"6003","9","80292","802930","2522","2011",2017/02/01 01:00:00+01,POINT(459166.75239999965 4983730.990599999)
SRBRGI6000128,Баваниште,Bavanište,"6003","9","80225","802310","5820","2011",2017/02/01 01:00:00+01,POINT(490200.7644999996 4962848.8818)
SRBRGI6000129,Делиблато,Deliblato,"6003","9","80225","802336","2939","2011",2017/02/01 01:00:00+01,POINT(503123.3247999996 4964919.0743)
SRBRGI6000130,Ковин,Kovin,"6002","9","80225","802352","13515","2011",2017/02/01 01:00:00+01,POINT(498243.61510000005 4954040.3386)
SRBRGI6000131,Мало Баваниште,Malo Bavanište,"6003","5","80225","802379","332","2011",2020/10/20 10:15:17+02,POINT(506742.26669999957 4955092.332900001)
SRBRGI6000132,Гај,Gaj,"6003","7","80225","802328","2929","2011",2017/02/01 01:00:00+01,POINT(505256.87179999985 4960306.559699999)
SRBRGI6000133,Сакуле,Sakule,"6003","7","80292","802921","1847","2011",2017/02/01 01:00:00+01,POINT(459448.3273 4999249.607000001)
SRBRGI6000134,Самош,Samoš,"6003","9","80217","802280","1004","2011",2017/02/01 01:00:00+01,POINT(482162.7149 5005473.286900001)
SRBRGI6000135,Добрица,Dobrica,"6003","7","80039","800104","1076","2011",2017/02/01 01:00:00+01,POINT(487981.47890000045 5006707.300000001)
SRBRGI6000136,Мраморак,Mramorak,"6003","7","80225","802387","2690","2011",2017/02/01 01:00:00+01,POINT(497786.1615000004 4969548.2609)
SRBRGI6000137,Плочица,Pločica,"6003","7","80225","802395","1794","2011",2017/02/01 01:00:00+01,POINT(490959.09339999966 4951835.5535)
SRBRGI6000138,Скореновац,Skorenovac,"6003","7","80225","802409","2354","2011",2017/02/01 01:00:00+01,POINT(492564.71559999976 4956827.9288)
SRBRGI6000139,Шумарак,Šumarak,"6003","6","80225","802417","161","2011",2017/02/01 01:00:00+01,POINT(511326.3322999999 4962893.053400001)
SRBRGI6000140,Дубовац,Dubovac,"6003","7","80225","802344","1188","2011",2017/02/01 01:00:00+01,POINT(516491.01499999966 4960256.2029)
SRBRGI6000141,Калуђерово,Kaluđerovo,"6003","7","80098","800830","94","2011",2017/02/01 01:00:00+01,POINT(543520.7827000003 4972018.610099999)
SRBRGI6000142,Доњи Милановац,Donji Milanovac,"6002","9","70785","726818","2410","2011",2017/02/01 01:00:00+01,POINT(591647.0302999998 4924131.6851)
SRBRGI6000143,Кладово,Kladovo,"6002","9","70572","716588","8869","2011",2017/02/01 01:00:00+01,POINT(627898.1715000002 4940992.4376)
SRBRGI6000144,Барице,Barice,"6003","7","80349","803332","516","2011",2017/02/01 01:00:00+01,POINT(506368.62569999974 5003078.261700001)
SRBRGI6000145,Јерменовци,Jermenovci,"6003","9","80349","803383","905","2011",2017/02/01 01:00:00+01,POINT(503360.6624999996 5003537.828299999)
SRBRGI6000146,Маргита,Margita,"6003","7","80349","803413","924","2011",2017/02/01 01:00:00+01,POINT(513786.64350000024 5006929.286)
SRBRGI6000147,Пландиште,Plandište,"6003","9","80349","803448","3825","2011",2017/02/01 01:00:00+01,POINT(509622.55840000045 5008467.662799999)
SRBRGI6000148,Велика Греда,Velika Greda,"6003","7","80349","803359","1158","2011",2017/02/01 01:00:00+01,POINT(502178.7922 5009754.6401)
SRBRGI6000149,Дужине,Dužine,"6003","5","80349","803375","147","2011",2017/02/01 01:00:00+01,POINT(499937.1151999999 5015056.716600001)
SRBRGI6000150,Лаудоновац,Laudonovac,"6003","5","80349","803405","21","2011",2017/02/01 01:00:00+01,POINT(511401.3256999999 5002819.305)
SRBRGI6000151,Хајдучица,Hajdučica,"6003","7","80349","803464","1150","2011",2017/02/01 01:00:00+01,POINT(496859.3827999998 5010412.5473)
SRBRGI6000152,Стари Лец,Stari Lec,"6003","7","80349","803456","963","2011",2017/02/01 01:00:00+01,POINT(496952.42349999957 5014621.3015)
SRBRGI6000153,Избиште,Izbište,"6003","7","80128","801135","1472","2011",2017/02/01 01:00:00+01,POINT(514507.86560000014 4985382.9472)
SRBRGI6000154,Јабланка,Jablanka,"6003","7","80128","801143","251","2011",2017/02/01 01:00:00+01,POINT(530836.8875000002 4991481.8983)
SRBRGI6000155,Мало Средиште,Malo Središte,"6003","5","80128","801178","89","2011",2017/02/01 01:00:00+01,POINT(531189.8919000002 4999522.4461)
SRBRGI6000156,Месић,Mesić,"6003","7","80128","801194","198","2011",2017/02/01 01:00:00+01,POINT(531537.9040999999 4994750.4342)
SRBRGI6000157,Парта,Parta,"6003","5","80128","801224","376","2011",2017/02/01 01:00:00+01,POINT(520371.1966000004 4979665.554500001)
SRBRGI6000158,Голубиње,Golubinje,"6003","9","70785","726796","736","2011",2017/02/01 01:00:00+01,POINT(595535.2944 4928083.107899999)
SRBRGI6000159,Павлиш,Pavliš,"6003","7","80128","801216","2195","2011",2017/02/01 01:00:00+01,POINT(518858.3646 4994659.2217999995)
SRBRGI6000160,Идвор,Idvor,"6003","7","80217","802247","974","2011",2017/02/01 01:00:00+01,POINT(461772.67650000006 5003988.9792)
SRBRGI6000161,Уздин,Uzdin,"6003","9","80217","802298","2029","2011",2017/02/01 01:00:00+01,POINT(470602.26609999966 5005770.0209)
SRBRGI6000162,Путниково,Putnikovo,"6003","5","80217","802271","200","2011",2020/10/20 10:07:20+02,POINT(473307.8706 5004788.629899999)
