geoidentifikator,name_1,name_2,localtype,znacaj,matbro,registarskibroj,editdate,geometry
SRBRGI7100048,Тиса у Ботићевој,Tisa u Botićevoj,"7101","1","70220","347",2019/10/15 10:01:42+02,POINT(456861.1582000004 4959436.281199999)
SRBRGI7100049,Стопића пећина,Stopića pećina,"7101","1","71234","355",2017/02/01 01:00:00+01,POINT(407754.3514999999 4839444.358999999)
SRBRGI7100050,Две тисе у Суботици,Dve tise u Subotici,"7101","1","80438","381",2017/02/01 01:00:00+01,POINT(397147.1557 5105847.5155)
SRBRGI7100051,Јаворолисни платан у Новом Саду,Javorolisni platan u Novom Sadu,"7101","1","80284","387",2017/02/01 01:00:00+01,POINT(408322.5076000001 5011404.207699999)
SRBRGI7100052,Копривић у центру Новог Сада,Koprivić u centru Novog Sada,"7101","1","80284","389",2017/02/01 01:00:00+01,POINT(409504.8920999998 5011862.9186)
SRBRGI7100053,Три бела јасена код Долова,Tri bela jasena kod Dolova,"7101","1","80314","401",2017/02/01 01:00:00+01,POINT(489389.47479999997 4970465.737299999)
SRBRGI7100054,Амерички платан на Сајлову,Američki platan na Sajlovu,"7101","1","80284","432",2017/02/01 01:00:00+01,POINT(405943.0164000001 5014063.0030000005)
SRBRGI7100055,Шимшир у Сремским Карловцима,Šimšir u Sremskim Karlovcima,"7101","1","80411","434",2017/02/01 01:00:00+01,POINT(416833.8201000001 5005373.2699)
SRBRGI7100056,Платан код Милошевог конака,Platan kod Miloševog konaka,"7101","1","70220","439",2019/10/15 10:01:42+02,POINT(455887.4494000003 4958744.7389)
SRBRGI7100057,Чемпрес на Дедињу,Čempres na Dedinju,"7101","1","70220","440",2019/10/15 10:01:42+02,POINT(456890.8816999998 4959524.902000001)
SRBRGI7100058,Две тисе Саборне цркве,Dve tise Saborne crkve,"7101","1","70246","444",2019/10/15 10:01:42+02,POINT(456680.1928000003 4962856.143999999)
SRBRGI7100059,Храст на Цветном тргу,Hrast na Cvetnom trgu,"7101","1","70114","446",2017/02/01 01:00:00+01,POINT(457723.04110000003 4961477.7075)
SRBRGI7100060,Платан на Врачару,Platan na Vračaru,"7101","1","70114","447",2017/02/01 01:00:00+01,POINT(458308.8437999999 4960745.8882)
SRBRGI7100061,Бела топола у Молу,Bela topola u Molu,"7101","1","80012","448",2017/02/01 01:00:00+01,POINT(434163.24430000037 5066863.277000001)
SRBRGI7100062,Тиса у Пожешкој,Tisa u Požeškoj,"7101","1","70254","467",2017/02/01 01:00:00+01,POINT(454096.0089999996 4958992.148399999)
SRBRGI7100063,Храст лужњак испод Стражевице,Hrast lužnjak ispod Straževice,"7101","1","70483","477",2017/02/01 01:00:00+01,POINT(450930.4682 4879043.1329)
SRBRGI7100064,Храст лужњак у шуми Курјачица,Hrast lužnjak u šumi Kurjačica,"7101","1","80047","499",2017/02/01 01:00:00+01,POINT(345528.56010000035 5058011.3541)
SRBRGI7100065,Храст сладун у Братинцу,Hrast sladun u Bratincu,"7101","1","70947","504",2017/02/01 01:00:00+01,POINT(519951.82100000046 4943472.203199999)
SRBRGI7100066,Два храста лужњака у Петровцу,Dva hrasta lužnjaka u Petrovcu,"7101","1","70912","506",2017/02/01 01:00:00+01,POINT(533097.2647000002 4914124.795299999)
SRBRGI7100067,Два храста лужњака у Петровцу,Dva hrasta lužnjaka u Petrovcu,"7101","1","70912","506",2017/02/01 01:00:00+01,POINT(533073.6354 4914161.1077)
SRBRGI7100068,Бела топола код Старе Пазове,Bela topola kod Stare Pazove,"7101","1","80420","507",2017/02/01 01:00:00+01,POINT(437437.6590999998 4981801.075300001)
SRBRGI7100069,Гинко на Врачару,Ginko na Vračaru,"7101","1","70114","511",2017/02/01 01:00:00+01,POINT(457727.98670000024 4960752.567)
SRBRGI7100070,Два храста лужњака – Ђурђевак,Dva hrasta lužnjaka – Đurđevak,"7101","1","70742","514",2017/02/01 01:00:00+01,POINT(432254.1730000004 4848464.7421)
SRBRGI7100071,Два храста лужњака – Ђурђевак,Dva hrasta lužnjaka – Đurđevak,"7101","1","70742","514",2017/02/01 01:00:00+01,POINT(432281.9753999999 4848485.2267)
SRBRGI7100072,Два храста у Врачевићу,Dva hrasta u Vračeviću,"7101","1","70700","516",2017/02/01 01:00:00+01,POINT(435536.14329999965 4904286.3939)
SRBRGI7100073,Дуд на Ченејском салашу,Dud na Čenejskom salašu,"7101","1","80284","527",2017/02/01 01:00:00+01,POINT(406585.6233999999 5026078.2632)
