geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5016519,Павлов бардак,Pavlov bardak,"5003","3","70734",2017/02/01 01:00:00+01,949.484530816739,"MULTILINESTRING((359579 4929433,360121.1434000004 4929448.468599999,360488 4929625))"
SRBRGI5016520,Џинуља,Džinulja,"5003","2","70734",2017/02/01 01:00:00+01,207.870151777498,"MULTILINESTRING((357495 4930363,357696 4930310))"
SRBRGI5016521,Команда,Komanda,"5003","2","70734",2017/02/01 01:00:00+01,322.75067776846,"MULTILINESTRING((355178 4930374,355500 4930352))"
SRBRGI5016522,Гај,Gaj,"5002","3","70734",2017/02/01 01:00:00+01,276.875423250241,"MULTILINESTRING((354268 4929330,354416 4929564))"
SRBRGI5016523,Градац,Gradac,"5002","2","70734",2017/02/01 01:00:00+01,206.630104292671,"MULTILINESTRING((354156 4930358,354342 4930268))"
SRBRGI5016524,Прљужа,Prljuža,"5002","3","70734",2017/02/01 01:00:00+01,446.494530931394,"MULTILINESTRING((354993 4929766,355118 4929583,355177 4929366))"
SRBRGI5016525,Трњак,Trnjak,"5002","2","70734",2017/02/01 01:00:00+01,185,"MULTILINESTRING((361247 4931072,361432 4931072))"
SRBRGI5016526,Приљев,Priljev,"5002","2","70734",2017/02/01 01:00:00+01,201.30076999356,"MULTILINESTRING((363697 4936528,363898 4936517))"
SRBRGI5016527,Учетна коса,Učetna kosa,"5002","2","70734",2017/02/01 01:00:00+01,364.185136400158,"MULTILINESTRING((369555 4941126,369730 4941121,369910 4941063))"
SRBRGI5016528,Чотрића брдо,Čotrića brdo,"5003","2","70734",2017/02/01 01:00:00+01,294.287274614449,"MULTILINESTRING((368592 4939811,368886 4939798))"
SRBRGI5016529,Голо брдо,Golo brdo,"5003","2","70734",2017/02/01 01:00:00+01,216.591781930894,"MULTILINESTRING((369889 4938565,370105 4938549))"
SRBRGI5016530,Јовино брдо,Jovino brdo,"5003","2","70734",2017/02/01 01:00:00+01,270.046292327816,"MULTILINESTRING((368894 4940677,369164 4940682))"
SRBRGI5016532,Кратко,Kratko,"5002","2","70734",2017/02/01 01:00:00+01,206.651881191534,"MULTILINESTRING((369783 4936396,369915 4936237))"
SRBRGI5016533,Џајац,Džajac,"5002","2","70734",2017/02/01 01:00:00+01,183.447540185198,"MULTILINESTRING((367692 4936110,367814 4936247))"
SRBRGI5016534,Пантелића чот,Pantelića čot,"5003","2","70734",2017/02/01 01:00:00+01,371.344853202518,"MULTILINESTRING((371465 4936512,371836 4936496))"
SRBRGI5016535,Црвена коса,Crvena kosa,"5002","2","70734",2017/02/01 01:00:00+01,312.851402426136,"MULTILINESTRING((371846 4936777,372106 4936951))"
SRBRGI5016536,Широка коса,Široka kosa,"5002","2","70734",2017/02/01 01:00:00+01,388.991433856455,"MULTILINESTRING((372757 4940671,372915 4940777,373058 4940915))"
SRBRGI5016537,Зрнића брдо,Zrnića brdo,"5003","2","70734",2017/02/01 01:00:00+01,250.199920063936,"MULTILINESTRING((371069 4940719,371211 4940925))"
SRBRGI5016538,Дуги парлог,Dugi parlog,"5002","2","70734",2017/02/01 01:00:00+01,356.186748770922,"MULTILINESTRING((371894 4939666,372159 4939904))"
SRBRGI5016539,Паковац,Pakovac,"5002","2","70734",2017/02/01 01:00:00+01,247.38633753706,"MULTILINESTRING((372587 4941851,372815 4941947))"
SRBRGI5016540,Дуга коса,Duga kosa,"5002","2","70734",2017/02/01 01:00:00+01,227.754253527788,"MULTILINESTRING((374016 4940370,374212 4940486))"
SRBRGI5016541,Велико церје,Veliko cerje,"5002","2","70734",2017/02/01 01:00:00+01,312.040061530567,"MULTILINESTRING((374159 4941973,374471 4941968))"
SRBRGI5016542,Широка коса,Široka kosa,"5002","2","70734",2017/02/01 01:00:00+01,284.112653713276,"MULTILINESTRING((379959 4936194,380123 4935962))"
