geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI3102094,Смрделица,Smrdelica,"3101","2","71064",2020/07/17 12:16:39+02,POINT(579708.9948000005 4819409.5328)
SRBRGI3102095,Врело,Vrelo,"3101","2","70025",2017/02/01 01:00:00+01,POINT(570098.4601999996 4816078.741699999)
SRBRGI3102096,Грабовац,Grabovac,"3101","2","70025",2017/02/01 01:00:00+01,POINT(572038.1774000004 4817289.7421)
SRBRGI3102097,Накршак,Nakršak,"3101","2","70025",2020/07/16 13:40:35+02,POINT(571663.8990000002 4818250.5089)
SRBRGI3102098,Подрумиште,Podrumište,"3101","2","70670",2020/07/17 12:17:44+02,POINT(521628.9369999999 4817443.9213)
SRBRGI3102099,Кисела вода,Kisela voda,"3101","2","70670",2020/07/17 12:17:44+02,POINT(518912.78029999975 4818720.025800001)
SRBRGI3102100,Бозинац,Bozinac,"3101","2","71170",2017/02/01 01:00:00+01,POINT(511137.53390000015 4818403.111)
SRBRGI3102101,Врела,Vrela,"3101","2","70017",2020/07/17 12:17:44+02,POINT(487921.3607000001 4816436.181600001)
SRBRGI3102102,Извори,Izvori,"3101","2","70653",2017/02/01 01:00:00+01,POINT(465972.01020000037 4817544.2717)
SRBRGI3102103,Студено врело,Studeno vrelo,"3101","2","70564",2017/02/01 01:00:00+01,POINT(443072.8060999997 4819127.5416)
SRBRGI3102104,Базва,Bazva,"3101","2","70564",2020/07/17 12:17:44+02,POINT(439767.1012000004 4819681.596000001)
SRBRGI3102105,Братљева чесма,Bratljeva česma,"3106","2","70564",2017/02/01 01:00:00+01,POINT(427848.9151999997 4819246.075099999)
SRBRGI3102106,Језеро,Jezero,"3103","4","70564",2017/02/01 01:00:00+01,POINT(419441.2337999996 4818254.414799999)
SRBRGI3102107,Угриновац,Ugrinovac,"3101","3","70866",2017/02/01 01:00:00+01,POINT(417071.0915999999 4819149.502)
SRBRGI3102108,Вреоце,Vreoce,"3101","2","70866",2017/02/01 01:00:00+01,POINT(417458.9715 4816442.0154)
SRBRGI3102109,Барице,Barice,"3101","2","70866",2017/02/01 01:00:00+01,POINT(411618.0181999998 4815949.360200001)
SRBRGI3102110,Барица,Barica,"3101","2","70866",2017/02/01 01:00:00+01,POINT(414152.7315999996 4818793.636700001)
